Ad_Post_Date,Ad_Views,Address,Agency,District,ID,Link,Price,Price_Unit,Property_Type,Seller,Seller_Contact,Seller_Email,Title
"Aug 27, 2023",2,Ramkot,Fyafulla Real Estate Services,Kathmandu,NH20230,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20230,23 Lac,aana,Land,Tul Bahadur Tamang,9851132469,info@fyafullaa.com,Residential Land for Sale
"Aug 26, 2023",23,Rarahill,C Marg Service,Kathmandu,NH20226,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20226,25 Lac,aana,Land,Chetan Jagat,9840042012,cmargservice@gmail.com,Residential Land for Sale
"Aug 24, 2023",132,Ramkot,City Realtors,Kathmandu,NH20223,https://www.nepalhomes.com/detail/house-for-sale-NH20223,3 Cr,NA,House,City Realtors,9851182260,mail@cityrealtorsnp.com,House for Sale
"Aug 27, 2023",4,Bojepokhari,Aabhari Real Estate,Lalitpur,NH20228,https://www.nepalhomes.com/detail/house-for-sale-NH20228,2.85 Cr,NA,House,,9840255058,aabharirealestate@gmail.com,House for Sale
"Aug 25, 2023",19,New Baneshwor,Subash Joshi,Kathmandu,NH20224,https://www.nepalhomes.com/detail/open-space-office-space-for-rent-NH20224,"60,000",m,Office Space,,9818176382,sbshjsh@gmail.com,Office Space for Rent at New Baneswhwor
"Aug 26, 2023",25,Machhe Gaun,C Marg Service,Kathmandu,NH20225,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20225,85 Lac,NA,Land,Chetan Jagat,9840042012,cmargservice@gmail.com,Residential Land for Sale
"Aug 27, 2023",27,Siddhartha Colony,Nepal Home Search,Kathmandu,NH20227,https://www.nepalhomes.com/detail/house-for-rent-NH20227,3 Lac,m,House,Prakash Subba,9802070333,info@nepalhomesearch.com,House for Rent
"Aug 27, 2023",6,Samakhusi,Fyafulla Real Estate Services,Kathmandu,NH20229,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20229,36 Lac,aana,Land,Tul Bahadur Tamang,9851132469,info@fyafullaa.com,Residential Land for Sale
"Aug 23, 2023",18,Anamnagar,Riya Arnav,Kathmandu,NH20213,https://www.nepalhomes.com/detail/open-space-office-space-for-rent-NH20213,150,sq. ft.,Office Space,,9851026492,riyarnav@gmail.com,Office Space for Rent
"Aug 23, 2023",110,Bhatkepati,C Marg Service,Kathmandu,NH20214,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20214,14 Lac,aana,Land,Chetan Jagat,9840042012,cmargservice@gmail.com,Residential Land for Sale
"Aug 23, 2023",61,Thali,Fyafulla Real Estate Services,Kathmandu,NH20216,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20216,24 Lac,aana,Land,Tul Bahadur Tamang,9851132469,info@fyafullaa.com,Residential Land for Sale
"Aug 23, 2023",42,Sanagaun,DIN BANDHU ADHIKARI,Lalitpur,NH20220,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20220,48 Lac,aana,Land,,9847339680,roomie.suraj@gmail.com,Residential Land for Sale
"Aug 23, 2023",42,Mulpani,Fyafulla Real Estate Services,Kathmandu,NH20215,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20215,28 Lac,aana,Land,Tul Bahadur Tamang,9851132469,info@fyafullaa.com,Residential Land for Sale
"Aug 23, 2023",31,Salyanthan,C Marg Service,Kathmandu,NH20218,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20218,16 Lac,aana,Land,Chetan Jagat,9840042012,cmargservice@gmail.com,Residential Land for Sale
"Aug 23, 2023",41,Salyanthan,C Marg Service,Kathmandu,NH20219,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20219,18 Lac,aana,Land,Chetan Jagat,9840042012,cmargservice@gmail.com,Residential Land for Sale
"Aug 23, 2023",48,Golfutar,Ghar Jagga Bazar Realestate,Kathmandu,NH20212,https://www.nepalhomes.com/detail/bungalow-house-for-sale-NH20212,6.35 Cr,NA,House,Avinish Bantawa,9818909311,gharjaggabazar@gmail.com,Bungalow House for Sale
"Aug 21, 2023",90,Hattiban,Ghar Jagga Bazar Realestate,Lalitpur,NH20204,https://www.nepalhomes.com/detail/1-bhk-apartment-for-sale-NH20204,80 Lac,NA,Apartment,Avinish Bantawa,9818909311,gharjaggabazar@gmail.com,1 BHK Apartment for Sale
"Aug 21, 2023",75,Hattiban,Ghar Jagga Bazar Realestate,Lalitpur,NH20205,https://www.nepalhomes.com/detail/3-bhk-apartment-for-rent-NH20205,"70,000",m,Apartment,Avinish Bantawa,9818909311,gharjaggabazar@gmail.com,3 BHK Apartment for Rent
"Aug 21, 2023",71,Bhaisepati,Property Door Key,Lalitpur,NH20206,https://www.nepalhomes.com/detail/3-bhk-flats-for-rent-NH20206,Price on call,m,Flats,,9865816317,officialdoorkey@gmail.com,3 BHK Flats for Rent
"Aug 22, 2023",398,Imadol,Property In Nepal,Lalitpur,NH20208,https://www.nepalhomes.com/detail/house-for-sale-NH20208,4.9 Cr,NA,House,Ramesh Barudi,9818262007,propertyinnepal22@gmail.com,House for Sale
"Aug 22, 2023",217,Imadol,Property In Nepal,Lalitpur,NH20207,https://www.nepalhomes.com/detail/house-for-sale-NH20207,2.99 Cr,NA,House,Ramesh Barudi,9818262007,propertyinnepal22@gmail.com,House for Sale
"Aug 23, 2023",21,Shantinagar,Property Door Key,Kathmandu,NH20211,https://www.nepalhomes.com/detail/house-for-sale-NH20211,Price on call,m,House,,9865816317,officialdoorkey@gmail.com,House for Sale
"Aug 21, 2023",71,Imadol,Property In Nepal,Lalitpur,NH20196,https://www.nepalhomes.com/detail/house-for-sale-NH20196,4.5 Cr,NA,House,Ramesh Barudi,9818262007,propertyinnepal22@gmail.com,House for Sale
"Aug 21, 2023",1.3k,Nakhipot,Ghar Jagga Bazar Realestate,Lalitpur,NH20203,https://www.nepalhomes.com/detail/house-for-sale-NH20203,2.7 Cr,NA,House,Avinish Bantawa,9818909311,gharjaggabazar@gmail.com,House for Sale
"Aug 21, 2023",31,Hattiban,Thapa Ji,Lalitpur,NH20197,https://www.nepalhomes.com/detail/3-bhk-apartment-for-sale-at-cityscape-apartment-hattiban-NH20197,2.05 Cr,NA,Apartment,,9851060237,thapatek.nepal@gmail.com,Apartment for Sale at Cityscape Apartment
"Aug 21, 2023",73,Imadol,Property In Nepal,Lalitpur,NH20198,https://www.nepalhomes.com/detail/house-for-sale-NH20198,3.95 Cr,NA,House,Ramesh Barudi,9818262007,propertyinnepal22@gmail.com,House for Sale
"Aug 21, 2023",146,Hattigaunda,Ghar Jagga Bazar Realestate,Kathmandu,NH20201,https://www.nepalhomes.com/detail/bungalow-house-for-sale-NH20201,17.5 Cr,NA,House,Avinish Bantawa,9818909311,gharjaggabazar@gmail.com,Bungalow House for Sale
"Aug 21, 2023",56,Bhaisepati,Nepal Home Search,Lalitpur,NH20199,https://www.nepalhomes.com/detail/house-for-sale-NH20199,7 Cr,NA,House,Prakash Subba,9802070333,info@nepalhomesearch.com,House for Sale
"Aug 21, 2023",633,Hattigaunda,Ghar Jagga Bazar Realestate,Kathmandu,NH20202,https://www.nepalhomes.com/detail/bungalow-house-for-sale-NH20202,11.5 Cr,NA,House,Avinish Bantawa,9818909311,gharjaggabazar@gmail.com,Bungalow House for Sale
"Aug 18, 2023",99,Imadol,G.P. Real Estate Services,Lalitpur,NH20188,https://www.nepalhomes.com/detail/4-bhk-house-for-sale-NH20188,2.95 Cr,NA,House,Pradip Karki,9860342444,realstategp46@gmail.com,House for Sale
"Aug 21, 2023",59,Naxal,Nepal Home Search,Kathmandu,NH20195,https://www.nepalhomes.com/detail/bungalow-for-long-term-lease-NH20195,8 Lac,m,House,Prakash Subba,9802070333,info@nepalhomesearch.com,Bungalow for long term lease
"Aug 18, 2023",395,Tikathali,G.P. Real Estate Services,Lalitpur,NH20187,https://www.nepalhomes.com/detail/4-bhk-house-for-sale-NH20187,2.45 Cr,NA,House,Pradip Karki,9860342444,realstategp46@gmail.com,4 BHK House for Sale
"Aug 19, 2023",152,Bhatkepati,C Marg Service,Kathmandu,NH20192,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20192,21 Lac,aana,Land,Chetan Jagat,9840042012,cmargservice@gmail.com,Residential Land for Sale
"Aug 19, 2023",71,Tyanglafat,C Marg Service,Kathmandu,NH20190,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20190,40 Lac,aana,Land,Chetan Jagat,9840042012,cmargservice@gmail.com,Residential Land for Sale
"Aug 19, 2023",97,Bhatkepati,C Marg Service,Kathmandu,NH20191,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20191,26 Lac,aana,Land,Chetan Jagat,9840042012,cmargservice@gmail.com,Land for Sale
"Aug 18, 2023",69,Salmitar,Renuka,Kavrepalanchok,NH20180,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20180,3.5 Lac,aana,Land,,9861729055,369omnamahshivaya369@gmail.com,Residential Land for Sale
"Aug 17, 2023",91,Lubhu,Kumar Karki,Lalitpur,NH20179,https://www.nepalhomes.com/detail/house-for-sale-NH20179,1.7 Cr,NA,House,,9808056359,kumarkarki1950@gmail.com,House for Sale
"Aug 17, 2023",126,Imadol,Aabhari Real Estate,Lalitpur,NH20178,https://www.nepalhomes.com/detail/house-for-sale-NH20178,2.25 Cr,NA,House,,9840255058,aabharirealestate@gmail.com,House for Sale
"Aug 18, 2023",101,Satdobato,G.P. Real Estate Services,Lalitpur,NH20185,https://www.nepalhomes.com/detail/house-for-sale-NH20185,3.95 Cr,NA,House,Pradip Karki,9860342444,realstategp46@gmail.com,House for Sale
"Aug 18, 2023",1.5k,Imadol,Property In Nepal,Lalitpur,NH20182,https://www.nepalhomes.com/detail/4-bhk-house-for-sale-NH20182,1.8 Cr,NA,House,Ramesh Barudi,9818262007,propertyinnepal22@gmail.com,4 BHK House for Sale
"Aug 18, 2023",110,Sanobharyang,Fix Home Solutions,Kathmandu,NH20181,https://www.nepalhomes.com/detail/bungalow-house-for-rent-NH20181,8 Lac,m,House,,9863680035,fixjars@gmail.com,Bungalow House for Rent
"Aug 18, 2023",657,Bhaisepati,Property In Nepal,Lalitpur,NH20184,https://www.nepalhomes.com/detail/4-bhk-house-for-sale-NH20184,3.8 Cr,NA,House,Ramesh Barudi,9818262007,propertyinnepal22@gmail.com,4 BHK House for Sale
"Aug 17, 2023",107,Harisiddhi,Nepal Real Estate Solution,Lalitpur,NH20177,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20177,38 Lac,aana,Land,Gopal Barudi,9851169909,info@realestateinnepal.com,Residential Land for Sale
"Aug 16, 2023",134,Sanepa,Nepal Real Estate Solution,Lalitpur,NH20169,https://www.nepalhomes.com/detail/house-for-rent-NH20169,4.5 Lac,m,House,Gopal Barudi,9851169909,info@realestateinnepal.com,House for Rent
"Aug 16, 2023",38,Salyanthan Road,C Marg Service,Kathmandu,NH20170,https://www.nepalhomes.com/detail/commercial-land-for-sale-NH20170,27 Lac,m,Land,Chetan Jagat,9840042012,cmargservice@gmail.com,Commercial Land for Sale
"Aug 16, 2023",73,Rampur,Janak niraula,Chitwan,NH20173,https://www.nepalhomes.com/detail/duplex-house-for-sale-NH20173,1.5 Cr,NA,House,,9869762060,janakniraula9@gmail.com,House for Sale
"Aug 17, 2023",42,Bhaisepati,Nepal Real Estate Solution,Lalitpur,NH20176,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20176,35 Lac,aana,Land,Gopal Barudi,9851169909,info@realestateinnepal.com,Residential Land for Sale
"Aug 17, 2023",124,Bhaisepati,Property In Nepal,Lalitpur,NH20175,https://www.nepalhomes.com/detail/4-bhk-house-for-sale-NH20175,5 Cr,NA,House,Ramesh Barudi,9818262007,propertyinnepal22@gmail.com,4 BHK House for Sale
"Aug 16, 2023",43,Jakha,C Marg Service,Kathmandu,NH20172,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20172,27 Lac,aana,Land,Chetan Jagat,9840042012,cmargservice@gmail.com,Residential Land for Sale
"Aug 15, 2023",205,Mandikhatar,Lucky Housing and Real Estate,Kathmandu,NH20161,https://www.nepalhomes.com/detail/house-for-sale-NH20161,3.85 Cr,NA,House,Uddhav Sedhain,9823013235,support@nepalhomes.com,House for Sale
"Aug 16, 2023",44,Kusunti,Nepal Real Estate Solution,Lalitpur,NH20168,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20168,55 Lac,aana,Land,Gopal Barudi,9851169909,info@realestateinnepal.com,Residential Land for Sale
"Aug 15, 2023",112,Budhanilkantha,Lucky Housing and Real Estate,Kathmandu,NH20162,https://www.nepalhomes.com/detail/house-for-sale-NH20162,3.25 Cr,NA,House,Uddhav Sedhain,9823013235,support@nepalhomes.com,House for Sale
"Aug 16, 2023",284,Golfutar,Nepal Real Estate Solution,Kathmandu,NH20167,https://www.nepalhomes.com/detail/4-bhk-house-for-rent-NH20167,1.35 Lac,m,House,Gopal Barudi,9851169909,info@realestateinnepal.com,4 BHK House for Rent
"Aug 16, 2023",93,Goldhunga,Fyafulla Real Estate Services,Kathmandu,NH20166,https://www.nepalhomes.com/detail/residential-land-for-sale-NH20166,21 Lac,aana,Land,Tul Bahadur Tamang,9851132469,info@fyafullaa.com,Residential Land for Sale
